,AFRICA,ASIA,AUSTRALIA,EUROPE,MALAY ARCHIPELAGO,MELANESIA,MICRONESIA,NORTH AMERICA,POLYNESIA,SOUTH AMERICA
A,0.0,524.0,0.0,399.0,0.0,0.0,0.0,348.0,0.0,0.0
B,217.0,304.0,84.0,100.0,0.0,0.0,0.0,217.0,0.0,175.0
C,10.0,182.0,51.0,412.0,0.0,0.0,0.0,348.0,31.0,182.0
D,329.0,274.0,23.0,0.0,0.0,0.0,0.0,90.0,0.0,67.0
E,408.0,243.0,28.0,0.0,47.0,6.0,0.0,142.0,4.0,401.0
F,48.0,56.0,2.0,2.0,88.0,27.0,6.0,10.0,8.0,125.0
