,A,B,C,D,E,F
A,0.0,4.196308707882211,3.749399264787078,6.675513986681387,6.977666294820341,9.80690067651944
B,4.196308707882211,0.0,3.508791821206379,3.3556812390680446,4.5947136289924675,8.28978237819801
C,3.749399264787078,3.508791821206379,0.0,5.489594474880126,4.537864414913131,6.594372662787795
D,6.675513986681387,3.3556812390680446,5.489594474880126,0.0,3.340703789788717,7.5232471033168355
E,6.977666294820341,4.5947136289924675,4.537864414913131,3.340703789788717,0.0,4.758873963644847
F,9.80690067651944,8.28978237819801,6.594372662787795,7.5232471033168355,4.758873963644847,0.0
