,A,B,C,D,E,F
A,0.0,3.967498395494887,4.867421347473765,7.226391827106839,9.394851055822935,26.80462313471696
B,3.967498395494887,0.0,3.8529903798337073,5.020646889415096,6.342596253154235,26.347708008696774
C,4.867421347473765,3.8529903798337073,0.0,3.9468867734049633,7.636756623594821,26.301390857448318
D,7.226391827106839,5.020646889415096,3.9468867734049633,0.0,4.959693733517236,25.87212189680996
E,9.394851055822935,6.342596253154235,7.636756623594821,4.959693733517236,0.0,26.55909151115728
F,26.80462313471696,26.347708008696774,26.301390857448318,25.87212189680996,26.55909151115728,0.0
