,Count,Within Cluster,Neighbor Cluster
A,1072.0,9.477832289845974,23.986828008135113
B,1445.0,11.878882093647492,21.056115414464525
C,1281.0,16.302495843278475,25.987182821512334
D,1631.0,14.412218166732732,25.598600821694312
E,558.0,22.868677569340907,45.846858320597946
F,18.0,438.66054811262006,1102.8024829477413
