,AFRICA,ASIA,AUSTRALIA,EUROPE,MALAY ARCHIPELAGO,MELANESIA,MICRONESIA,NORTH AMERICA,POLYNESIA,SOUTH AMERICA
A,0.0,477.0,0.0,312.0,0.0,0.0,0.0,281.0,0.0,2.0
B,13.0,210.0,61.0,537.0,0.0,0.0,0.0,435.0,30.0,159.0
C,284.0,397.0,88.0,55.0,0.0,0.0,0.0,264.0,0.0,193.0
D,626.0,385.0,32.0,0.0,37.0,3.0,0.0,150.0,3.0,395.0
E,86.0,97.0,7.0,2.0,97.0,30.0,6.0,23.0,10.0,200.0
F,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
