"","City","x","y"
"128","Aleksin",37.065625,54.50863095
"129","Aleppo",37.16450458,36.2090063
"130","Alexandria1",-92.44856965,31.31094528
"131","Alexandria2",-77.26381267,38.8735189
"132","Alexandria3",30.01576599,31.19239899
"133","Alexandroupoli",25.89038461,40.85448718
"134","Aleysk",82.77173423,52.48952703
"135","Algeciras",-5.44759672,36.15100942
"136","Algha",57.32583333,49.905
"137","Algiers",3.09510811,36.66417568
"138","Ali Bayramli",48.9279321,39.94521605
"139","Ali Sabih",42.70520834,11.15208333
"140","Alicante",-0.48653315,38.38846685
"141","Alice",-98.0735215,27.75282258
"142","Alice Springs",133.87527778,-23.69833333
"143","Aligarh",78.15720226,27.98648834
"144","Alipur Duar",89.80943999,26.39009748
"145","Aliwal North",26.71388889,-30.69722222
"146","Allahabad",81.70417562,25.32869602
"147","Allanmyo",95.21776316,19.35285088
"148","Allappey",76.53173134,9.52931845
"149","Allende",-100.84839744,28.34198718
"150","Allentown",-75.40782233,40.63118449
"151","Alliance",-102.87453704,42.10324074
"152","Almaty",76.90273386,43.27766798
"153","Almenara",-40.69166666,-16.17638889
"154","Almeria",-2.44212963,36.85648148
"155","Almetyevsk",52.31916667,54.90322917
"156","Almirante",-82.3975,9.29916667
"157","Alor Setar",100.37513158,6.10869883
"158","Alotau",150.44916666,-10.30916667
"159","Alpena",-83.45376016,45.06554878
"160","Alpine",-103.66121795,30.36057692
"161","Alta Gracia",-64.42575758,-31.65568182
"162","Altagracia de Orituco",-66.37083334,9.8620098
"163","Altamira",-52.21011905,-3.19821429
"164","Altay",88.12724443,47.85032056
"165","Alton",-90.12715517,38.89853448
"166","Altoona",-78.403125,40.48363095
"167","Alvorada",-49.12083333,-12.47916666
"168","Alwar",76.87504002,27.57534746
"169","Alxa Zuoqi",105.66875,38.83229167
"170","Am Timan",20.28819444,11.02986111
"171","Amahai",128.91875,-3.33541667
"172","Amapa",-50.79166666,2.05
"173","Amarillo",-101.8564951,35.19260621
"174","Amasya",35.82708334,40.65694444
"175","Ambala",76.92219108,30.29156772
"176","Ambanja",48.45277778,-13.66666667
"177","Ambato",-78.59995047,-1.25302206
"178","Ambatondrazaka",48.41944444,-17.82708333
"179","Ambon",128.19328704,-3.6837963
"180","Amderma",61.6625,69.7625
"181","Americana",-47.32397052,-22.77831441
"182","Ames",-93.64180108,42.02567204
"183","Amherst",-64.2078125,45.8265625
"184","Amiens",2.30072751,49.88981482
"185","Amman",35.93563948,31.95776515
"186","Ammochostos",33.92462121,35.12512626
"187","Amol",52.35349702,36.47366071
"188","Amos",-78.11481482,48.57592592
"189","Amravati",77.75316484,20.92862022
"190","Amritsar",75.41881872,31.53878084
"191","Amsterdam",4.86759666,52.35180873
"192","Amursk",136.89836957,50.23278985
"193","An Najaf",44.38371212,32.01363636
"194","An Nasiriyah",46.25047619,31.0525
"195","Anaco",-64.46429739,9.43406863
"196","Anapolis",-48.94767812,-16.33425572
"197","Anatuya",-62.83392857,-28.4577381
"198","Anbyon",127.52202381,39.04464286
"199","Anchorage",-149.84626866,61.16911277
"200","Ancona",13.51731482,43.54583333
"201","Ancud",-73.81102941,-41.88014706
"202","Anda",125.26310386,46.42801932
"203","Anderson",-82.66556667,34.5193
"204","Andijon",72.21708644,40.73297575
"205","Andkhvoy",65.10083334,36.93055555
"206","Andoany",48.2675,-13.39583333
"207","Andong",128.72876016,36.56636179
"208","Andorra",1.53547298,42.51813063
"209","Andradina",-51.37654762,-20.90178571
"210","Androka",44.07916667,-25.02916666
"211","Angangxi",123.81589506,47.1566358
"212","Angarsk",103.8950046,52.55333794
"213","Angeles",120.66592934,15.05468266
"214","Angers",-0.54784227,47.46179316
"215","Angoche",39.92738095,-16.20267857
"216","Angol",-72.69886364,-37.80530303
"217","Angra do Heroismo",-27.22083333,38.65833334
"218","Angren",70.0891369,41.01421131
"219","Ankang",108.7910628,32.78483293
"220","Ankara",32.7534465,39.95789095
"221","Anlu",113.68893016,31.2372589
"222","Ann Arbor",-83.68541667,42.24743394
"223","Anna Regina",-58.48194445,7.26666666
"224","Annaba",7.74648594,36.84638554
"225","Annapolis",-76.52296099,38.97411347
"226","Annecy",6.1042298,45.92140151
"227","Anqing",117.04018361,30.55647364
"228","Ansan",126.84726076,37.38317329
"229","Anshan",123.03765669,41.20344528
"230","Anshun",105.80195136,26.23012821
"231","Antalaha",50.278125,-14.90416667
"232","Antalya",30.71468532,36.9004662
"233","Antananarivo",47.47670718,-18.87547261
"234","Antigonish",-61.99270833,45.61875
"235","Antofagasta",-70.39341398,-23.62741935
"236","Antsirabe",47.15032957,-19.87057439
"237","Antsiranana",49.29216667,-12.29983333
"238","Antsohihy",47.98958333,-14.87916667
"239","Antwerpen",4.534088,51.14238461
"240","Anuradhapura",80.41638041,8.32013359
"241","Anxi",95.78229167,40.521875
"242","Anyang",114.45733538,36.12134828
"243","Anzhero Sudzhensk",86.03114687,56.08568482
"244","Aomori",140.73914399,40.82990363
"245","Apalachicola",-84.99583333,29.725
"246","Apatity",33.40637255,67.57953431
"247","Apatzingan",-102.35416667,19.09027778
"248","Apia",-171.78111702,-13.83785461
"249","Apodi",-37.79583333,-5.6625
"250","Apolo",-68.41666667,-14.71666666
"251","Appleton",-88.40675796,44.25008991
"252","Apsheronsk",39.72761628,44.45726744
"253","Apucarana",-51.45128788,-23.54689394
"254","Aqadyr",72.86416667,48.26583333
"255","Aqsay",52.99877451,51.17034313
"256","Aqtau",51.23869048,43.63154762
"257","Aqtobe",57.18975694,50.29027778
"258","Aquidauana",-55.7890873,-20.47103175
"259","Ar Ramadi",43.29699074,33.42893518
"260","Ar Raqqah",39.01340909,35.95219697
"261","Ar Rutbah",40.28333333,33.0375
"262","Aracaju",-37.10550412,-10.90300069
"263","Aracati",-37.76666667,-4.5625
"264","Aracatuba",-50.44277426,-21.20627637
"265","Aracuai",-42.06442308,-16.85608975
"266","Arad",21.31608527,46.17974806
"267","Araguaina",-48.20514706,-7.1875
"268","Araguari",-48.18966667,-18.64883333
"269","Arak",49.69278674,34.08543907
"270","Aral",61.66177536,46.80126812
"271","Aranyaprathet",102.50189394,13.6905303
"272","Arapiraca",-36.66704546,-9.74242424
"273","Arapongas",-51.43310606,-23.40704545
"274","Arar",41.02714646,30.97765151
"275","Ararangua",-49.49375,-28.938125
"276","Ararat",142.92694444,-37.28416667
"277","Arauca",-70.75555556,7.07569445
"278","Araxa",-46.9379386,-19.59188597
"279","Arba Minch",37.57986111,6.04791667
"280","Arcata",-124.08138889,40.87777778
"281","Archangel",40.58266719,64.55118861
"282","Arcoverde",-37.05238095,-8.4172619
"283","Arctic Bay",-85.17083333,73.0375
"284","Ardabil",48.28517932,38.25648734
"285","Ardmore",-97.1392094,34.17788461
"286","Arecibo",-66.76144636,18.44104406
"287","Arequipa",-71.52906566,-16.39714646
"288","Arezzo",11.86317204,43.46774194
"289","Argentia",-53.98916667,47.30916667
"290","Arica",-70.29095529,-18.4773374
"291","Arjona",-75.34916666,10.25916667
"292","Armavir",41.11852837,45.00452128
"293","Armenia",-75.67718254,4.54325397
"294","Armidale",151.66130952,-30.51041667
"295","Arqalyq",66.90735294,50.25539216
"296","Arras",2.77312271,50.28997253
"297","Arrecife",-13.56892857,28.97297619
"298","Arroyos y Esteros",-57.1,-25.05416666
