,AFRICA,ASIA,AUSTRALIA,EUROPE,MALAY ARCHIPELAGO,MELANESIA,MICRONESIA,NORTH AMERICA,POLYNESIA,SOUTH AMERICA
A,0.0,523.0,0.0,401.0,0.0,0.0,0.0,342.0,0.0,0.0
B,217.0,304.0,85.0,102.0,0.0,0.0,0.0,216.0,0.0,174.0
C,10.0,179.0,51.0,408.0,0.0,0.0,0.0,353.0,32.0,181.0
D,317.0,270.0,22.0,0.0,0.0,0.0,0.0,88.0,0.0,66.0
E,416.0,248.0,28.0,0.0,46.0,6.0,0.0,145.0,4.0,398.0
F,51.0,59.0,2.0,2.0,89.0,27.0,6.0,11.0,7.0,131.0
