,A,B,C,D,E,F
A,0.0,4.198478239581048,3.759551775142487,6.684066814482219,6.955541042266126,9.794346906906695
B,4.198478239581048,0.0,3.4912172821025673,3.3688450471651423,4.550472186366466,8.251267055308325
C,3.759551775142487,3.4912172821025673,0.0,5.501397755862955,4.532455550816639,6.593913097293697
D,6.684066814482219,3.3688450471651423,5.501397755862955,0.0,3.3322884374897557,7.5029117541280135
E,6.955541042266126,4.550472186366466,4.532455550816639,3.3322884374897557,0.0,4.755853093971777
F,9.794346906906695,8.251267055308325,6.593913097293697,7.5029117541280135,4.755853093971777,0.0
