,Count,Within Cluster,Neighbor Cluster
A,1076.0,9.463921781882458,23.992879945772586
B,1453.0,11.868497526530527,21.063115290044095
C,1287.0,16.38893278491211,26.088330235992622
D,1619.0,14.386771652461142,25.51511874201563
E,565.0,23.032161624696574,45.490338576540694
F,18.0,439.57952586563744,1104.8989301951165
