,AFRICA,ASIA,AUSTRALIA,EUROPE,MALAY ARCHIPELAGO,MELANESIA,MICRONESIA,NORTH AMERICA,POLYNESIA,SOUTH AMERICA
A,0.0,477.0,0.0,312.0,0.0,0.0,0.0,285.0,0.0,2.0
B,13.0,211.0,61.0,545.0,0.0,0.0,0.0,434.0,30.0,159.0
C,286.0,400.0,89.0,54.0,0.0,0.0,0.0,264.0,0.0,194.0
D,627.0,381.0,31.0,0.0,37.0,3.0,0.0,147.0,1.0,392.0
E,86.0,97.0,7.0,2.0,97.0,30.0,6.0,25.0,12.0,203.0
F,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
