,A,B,C,D,E,F
A,0.0,3.9700849455400227,4.851644673540291,7.229710439812591,9.330131707681554,26.906505660013753
B,3.9700849455400227,0.0,3.8649064319717112,5.035475198064188,6.270209994752898,26.45328801487295
C,4.851644673540291,3.8649064319717112,0.0,3.9575528919442418,7.580700329815553,26.40095954641973
D,7.229710439812591,5.035475198064188,3.9575528919442418,0.0,4.914829623963425,25.970203846902624
E,9.330131707681554,6.270209994752898,7.580700329815553,4.914829623963425,0.0,26.650433298918124
F,26.906505660013753,26.45328801487295,26.40095954641973,25.970203846902624,26.650433298918124,0.0
